name,type,impressions,reach,mentions,engagement,followers,views,likes,shares,comments,sentiment,hashtags_top_5
Topic,topic,9193265,5129873,40196,468318,3585289,17622,7262671,908096,113895,-5,
Entity 1,entity,4560295,4672734,55869,860789,6420670,5903214,4642109,2902249,845700,-4,"#recovery, #coversong, #discoverearth, #undiscovered_mugs, #covid_vaccine"
Entity 2,entity,6650498,74893602,26785,563712,75313966,7133711,11834133,1206865,256330,5,"#coverdance, #covermusic, #coverbrasil, #covidwedding, #covered"
Entity 3,entity,7497869,29852378,35811,637132,2433439,5632345,13857754,2195292,305963,-4,"#covid2020, #coverdesign, #discoveraustralia, #kpopcover, #covidiots"
Entity 4,entity,5278559,360062,75386,254120,8078364,4242631,58239202,3097135,324789,-1,"#covid19pandemic, #covidwarriors, #covidartmuseum, #coverstar, #coversong_id"
Entity 5,entity,2765342,67004716,90871,915963,27112302,3691265,38086308,1947759,246541,-2,"#covid, #recovery, #coverdance, #covid2020, #covid19pandemic"
Entity 6,entity,6406313,27394271,43410,745184,39762290,9939626,35105675,2520860,27092,-2,"#vaccine, #coversong, #covermusic, #coverdesign, #covidwarriors"
Entity 7,entity,8774263,15893756,80992,217940,18810889,3636901,87148573,3863828,42950,4,"#covid19, #discoverearth, #coverbrasil, #discoveraustralia, #covidartmuseum"
Entity 8,entity,2871427,5756816,59830,437065,11903472,2440282,1883269,409418,340317,3,"#discover, #unndiscovered_mugs, #covered, #covidiots, #coverstar"
Entity 9,entity,7197869,29634937,84685,347978,5271668,591275,54234295,4023941,538582,-4,"#covid_19, #covid_vaccine, #covidwedding, #kpopcover, #coversong_id"
Entity 10,entity,5780379,6476880,80702,424178,79057831,4158217,82675494,401223,492782,5,"#covid, #vaccine, #covid19, #covid_19, #discover"
Entity 11,entity,4605873,24008558,83249,362041,8178352,9390236,36078754,4363650,979162,4,"#covid1984, #covidartmatters, #covidsafety, #covid2021, #coviddiaries"
Entity 12,entity,3606313,33394271,43410,745184,39762290,9939626,35105675,2520860,27092,-3,"#vaccine, #coversong, #covermusic, #coverdesign, #covidwarriors"
Entity 13,entity,4760295,4672734,55869,860789,6420670,5903214,4642109,2902249,845700,-2,"#recovery, #coversong, #discoverearth, #undiscovered_mugs, #covid_vaccine"
Entity 14,entity,5197869,39634937,84685,647978,5271668,591275,54234295,4023941,538582,4,"#covid_19, #covid_vaccine, #covidwedding, #kpopcover, #coversong_id"
Entity 15,entity,2871427,5756816,59830,437065,11903472,2440282,1883269,409418,340317,3,"#discover, #unndiscovered_mugs, #covered, #covidiots, #coverstar"
Entity 16,entity,4806313,23354271,83410,245184,59662290,9939626,35105675,2520860,27092,-5,"#vaccine, #coversong, #covermusic, #coverdesign, #covidwarriors"
Entity 17,entity,6606313,63894271,63410,345184,79762290,8339626,35105675,2520860,27092,5,"#vaccine, #coversong, #covermusic, #coverdesign, #covidwarriors"
